"nbProvider","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"W_W","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"Witness","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"W_I","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"2.667702067939159","3.0920299209369255","2.6059091557964402","3.0638019061948456","3.486155867328616","3.244650976170556","4.2793085730016305","2.8734578316590693","3.0470309898362764","2.803474437507883","3.545788010898895","3.4040250716780367","3.2255981288522757","3.3664439512872986","3.891790945497093","3.606175913356462","3.161680547996139","2.972500847135432","3.2819729150314894","4.181835564021159","3.4644957854878577","3.456206645625922","3.6891422421692646","3.3814319659964736","2.7585919526423672","4.127653651845412","2.523520888994682","2.5599420991989916","3.2547500800846842","3.6884049557574548"
,"2.9154989612727595","2.606705207085461","2.5776116847677795","3.578050905639829","3.7821489402429234","2.625546969833269","4.335832873938535","3.434848311115196","3.655699341163527","2.972314824175045","3.567080251907594","3.655134424272894","3.0246800969055747","3.683240688464675","3.6647140581733297","3.8196836076921876","3.1744652948184404","3.2817760279729673","3.1526005073891223","4.171092682987571","3.73697710431783","2.8169391923250306","3.7837692459849857","3.3469715905214077","3.4052076160338736","4.287431643230722","2.550820550390147","2.6101233797303958","3.1099660168368546","3.7988749841868414"
,"2.9127479728966734","2.8320528364902025","2.5955707235937497","3.276721988650032","3.9533496407934123","2.958588407175716","4.506770778658243","3.0167462614902973","3.116160420542368","2.993005589189804","3.0759409016691412","3.5259128342539126","2.862782923844825","3.737743792449161","3.9546714548287003","3.2876337294845746","2.7893501951234723","2.9783969204020004","3.295019454670423","4.3051740401185175","3.911463948315865","2.9789253201326304","4.165049491829173","3.4720161207909603","3.3408005194975794","4.250545928383578","2.8365798995608396","2.492423695057706","3.156725353395322","3.9117065302219625"
,"3.2401523033305635","2.8526797325244133","2.8377444557392315","3.63762067201739","3.9327054114308106","2.9664936840362475","4.579952239379795","3.5865287835649595","3.2885573471723157","3.1315160753377365","3.134394197743984","3.576912839185573","3.1629873874219987","3.4527370400012916","3.860206877068065","3.5128797632786095","3.375406748446821","3.311979148253207","3.5342200204005296","4.306900817287898","4.010055496654302","3.3120648174140426","3.891939721857755","3.5260338312130868","3.3433807274839165","4.475073828746114","2.905460448501828","2.8367636218366328","3.5553692533487675","3.972489242682791"
,"2.97762034152888","3.040147267469759","2.833774177094974","3.2513299069703065","3.6910879525690206","3.441876411433984","4.7140621646671725","2.620871739222858","3.5745822005964922","2.865854384683908","3.4684703843827185","3.9047645404738067","2.761098157661243","4.155387775357364","4.049409387315937","3.332854312309003","3.5011435286801595","3.1907645475942554","3.453511313130375","4.326885272790705","3.781807717536007","2.9904815165014047","4.00108673296478","3.1946001584158505","3.4103498792797655","4.359653647548072","3.0932522109498954","2.389185563302734","3.4325678158764448","4.379702003229548"
,"3.1024300608777065","2.864889386471283","2.820007405936536","3.416263640222339","3.8912237080556498","3.3467007752218367","4.374506907804685","3.528555643352482","3.4393392834435725","3.0374385614930057","3.379760735670608","3.2747402052606605","3.0870367238537613","3.620736268875348","3.832215768174923","3.6523110598633743","3.335241203877634","3.212673803468434","3.7326444157577567","3.987419397431439","3.662528319852113","3.306131859367177","3.6306127078850126","3.169353466247125","3.3802026332284716","4.542613986511994","2.7727765235365993","2.8303325968704143","3.328221833132976","4.383596338317292"
,"3.0130538443028105","3.061953886337052","3.0569339465913186","3.6173661266766715","3.8185236326334935","3.3897888229333715","4.296176964099056","2.895042278437161","3.523556048255368","2.68251929232164","3.622813682169964","3.817843931746625","3.112560093740306","4.0302120059255255","3.9650868380861084","3.845943017759623","3.3267507270606163","3.2470288477810336","3.2537285851377398","4.335956411020345","3.7067122447591543","3.690559288009448","3.69012956837506","3.720981092141983","3.5630858696232046","4.257087014856373","2.6849540165267016","2.6548024543090407","3.428857779813324","3.736157154795771"
,"2.8930704562205123","3.3490470883901704","2.6798585345191017","3.085381914841471","3.8625529289968044","3.4400782510911614","4.6035841589646695","3.1782071956090028","3.486352359843346","3.0816302979037915","3.5480809703231735","3.4220623245387576","3.037203002208426","3.710912661273927","3.8587684601658028","3.7805840875283634","3.0684516159307536","3.2822081207034306","3.664118341596438","4.311123322567131","3.730408715912344","3.364697053769883","3.986734185828614","3.539296346879644","3.3421388693262988","4.655538765875451","2.9630922178018184","2.5251902324340243","3.355728017699514","3.6379085083157108"
,"2.6659207375949907","3.2798863647760115","2.6159177912740517","3.2371790617695666","3.5473768514570048","3.5493544803862145","4.329743142363693","3.5468988188058783","3.1989974541829778","2.7284432417635416","3.6413845587205995","3.853607030677927","3.17488247439799","3.9707689260367935","3.6513022996932203","3.6993070865141","3.2582808726126093","3.320807921109589","3.4190642349399747","4.307724739351658","3.7972832763901394","3.3808675381612976","3.837607517050703","3.8051284139331347","3.0158518934025667","4.35977048383154","3.077692132733754","2.694187383297837","3.3190182297410202","4.152110182758762"
,"3.053351132876207","3.1747173834268634","2.8043018190598428","3.3733105997390544","3.515258622015372","2.9113566224698726","4.5431284849118025","3.1556359537421987","3.664949742084135","2.629181174635775","3.568729203153784","4.058597134428279","3.1956732989556627","3.465101989282344","3.9035930376797436","3.502667742221099","3.2475359149148697","3.1414265344452397","3.6197152274755355","4.468939505064546","3.5920639148999376","3.402274411524136","3.5552691237742504","3.845536288844004","3.222597010480529","4.402043811045647","3.0667819697958714","2.6837966201917967","3.452328284891995","3.9747011025895427"
,"2.5979578727379984","2.794551274369745","2.9785542823912494","3.321574042940436","3.4914026195064474","3.328354202360971","4.475812005696767","3.286327606744676","3.5280490050655215","3.144591749138932","3.876033844668951","3.948161082474316","3.0566913458400853","3.8008081628476633","4.075083184602158","3.850418936398181","3.3567563167637267","3.0048889147283386","3.710478595570937","4.23319808922585","4.205833519613029","3.3163717961656425","4.062282827049532","3.330217357425928","3.9018843877704605","4.47214155271192","2.896038679129126","3.2676219575430503","3.1564726450537526","3.5610932273630134"
,"3.4168164680228337","2.9471939942668475","2.8749024805434953","3.5810843072856855","3.851690834263439","3.285118111446813","4.540286803727306","3.4771726523699367","3.4714157221638096","3.1450332890934707","3.580789493630722","3.4008332360816835","2.9859265488938975","3.5495725367753845","3.994654336856","3.7681960565269605","3.341846149511956","3.550065184438317","3.347566786756557","4.355076016106916","3.598800902907267","3.5493305201598986","4.210362919283709","3.759254528786138","3.466706930574043","4.494970006315938","3.0750368779253443","2.36621808060333","3.5943493457314335","4.164060375211258"
,"3.3565649613587087","2.759377557389677","3.498218256529127","3.224503059839438","3.586564306032165","3.2109532592616556","4.408040662979495","3.332651980664186","3.7543494056981985","3.103959228353392","3.584573230945189","3.710020962140594","3.4197134827852103","3.474576592275878","4.088802958216503","3.9007175877571534","3.6758724254901023","3.330515086007309","3.4171544457366982","3.971580434179394","3.5877732849278154","3.382854137564488","4.040565264503542","3.666369666203532","3.7930380951528475","4.274378559285493","2.928442150042587","3.022848397969138","3.412645389739821","3.9680665737028282"
,"2.9774289299131347","3.102725126544684","3.0215433600393804","3.2791083335972746","3.640371824823436","3.4127007604688098","4.382483360815177","3.5041068641119217","3.5838937160342805","3.198376618548055","4.023283209364974","3.796913451851841","3.2162214750417832","3.8939484686927637","4.160757703031152","3.682217902858212","3.618541530125164","2.926992701521719","3.654392792084254","4.442786073733302","4.011617350350797","3.071827033164072","4.185018929221144","3.9388361874670514","3.4294322138196334","4.631565800149954","3.058701512124829","2.617496235056033","3.1299613101363404","3.933213516925381"
,"3.2502687506852372","3.427578939324735","2.4779988588112496","3.5892401683753348","3.895145385193874","3.1020576855838633","4.942968217319976","3.711503132045897","3.6962286592283156","3.114803657731177","3.52698473511029","3.904033832390532","3.234999989784033","3.7881946567281233","4.040570875985631","3.928799419617149","3.3271687303588293","2.846819251970428","3.308679954210328","3.8452851835937514","4.089249094643902","3.542896384500124","4.104419655176755","3.469689227967995","3.8716960339716184","4.654060692312443","3.344773390974539","2.7546027817542713","3.394664029271729","3.853935610607213"
,"3.0065186554548013","3.1638906319388895","2.5632344278722017","3.4119566238800987","3.696563606404074","3.1800951977232312","4.624155253435027","3.493583655488379","3.577802131172323","3.2008717862541776","3.79988241874623","3.3473544130154016","3.1221837536311856","3.9907886465857745","3.7814374962543233","3.645661660716467","3.097925451879147","2.967820259191926","3.6245032722868538","4.430902404076847","4.165983106490948","3.2437412321744774","3.9698916091195895","3.4586923407017185","3.4386392624043136","4.805551254746135","3.1666281501239713","2.907583198862943","3.6772472104424763","4.246571261132889"
,"3.3128126415812993","2.9886686734255417","3.3373214613935946","3.416722736162502","3.927632874434911","3.1457666698221383","4.71314304966802","3.5291853051183133","3.9398979932606086","2.954093270935124","3.812347633161545","4.026965069668598","3.11887461595177","3.7326760483498576","3.9606276226817925","3.343311392884039","3.5615089232329527","2.9024518789802163","3.308668190759314","4.493681109855656","3.838100721958956","3.4744135895845725","3.618791099899005","3.616812770217624","3.841522995543139","4.629808670089852","2.740881855333303","2.529106781748378","3.8766164215983014","4.331306833542935"
,"3.348994294337769","3.156232224203239","3.123415730668431","3.39232804392409","4.009722848233085","3.6747481422625454","4.528496752577304","3.633977300453463","3.740351377946012","3.10695345450694","3.4558403793746804","4.145095767625398","3.1817180980464577","3.4710707885731886","4.058787658924932","4.119967696258793","3.6450168131116576","3.148077892516611","3.077337721196437","4.230495929172976","4.0816765896551335","3.392529088309518","4.188289099741323","3.9083353826828597","3.8146282840033785","5.016628513661821","2.6221479544176876","2.6667983495344356","3.4766178742247664","3.902612958384191"
,"3.504531302697897","3.236553953676843","3.065475449841152","3.2556229640343832","3.943279004365066","3.4191820213589543","4.572188907340391","3.4240474972367374","3.310794789806276","2.9237197532609818","3.9398249182317673","3.634976944683844","3.232339019682939","3.938300509793616","4.2682694100666225","3.780549658284261","3.492111859967287","2.6979325695529375","3.663534441164221","4.487818491991563","4.125134991278008","3.5255549151270382","3.85165887465532","3.6508204247709686","3.4032061281367696","4.567606119214314","2.7906448899161074","2.766288468935951","3.483575668021923","3.993935524535885"
,"3.169709290075593","2.869386838934472","3.122489598273395","3.168918604754907","3.858850476498076","3.371459209846611","4.378682568825257","3.4043618853430817","3.382140062867097","2.8745748131370448","3.7787097411651187","3.945758543870123","3.2268204439016515","3.5683657338275405","4.036219606745415","3.7132606569300313","3.1931197442996275","3.185191595589024","3.734730725437443","4.692255749633038","4.004637094532346","3.517620424074392","4.155372797177727","3.905617799553708","3.8081642323210265","4.563982951410512","3.1473882296315034","2.7991313535587925","3.186055011278932","4.283960864711575"
,"2.801933886268881","3.3933620829483533","3.1908967465829217","3.7067431824701376","3.9296830651409906","3.17936349771951","4.5838498888401125","3.7162819257431754","3.8760083375550343","3.1481111828543558","3.885562469274744","4.047450087211629","2.927629453121417","3.760099805881998","4.167493769269129","3.47348094968865","3.366061580399683","3.4061135093961763","3.382783356665557","4.763561683906705","3.6937256687372666","3.570956954696569","4.227939666913849","3.6144775308999466","3.686767731417605","4.855746455087017","3.0880956547355543","2.596537089918142","3.381770444187077","4.189777142334155"
,"2.897216747435343","3.245028715366219","2.8288521587948403","3.596723299937002","3.8041909121036803","3.433197458701651","4.353973313763142","3.548639346092945","3.5953875399240562","2.9453009195395454","3.830099390581799","3.9003079601485426","3.3248020805749716","4.061316347103763","3.9436204654895084","3.7522478096706884","3.191932835625181","3.3422098684078256","3.47078019945482","4.836643688023272","3.6289516063681457","3.2590650699868626","4.118675425290097","3.6300887749547583","3.781214579468091","4.735996672166522","3.3149750412529713","2.7497253667916968","3.575068744234768","3.7993368547564175"
,"3.082257768451414","3.3371047436109222","3.1367507614036554","3.9149745700723106","3.7533351190217368","3.115830865260969","4.487975953496472","3.409224105253474","3.2016565999673543","3.139915411014055","3.662306949277804","3.7602708849332807","2.9972688862757337","3.6730265008836893","3.6168622125627024","3.4938136299465232","3.3071920646905455","3.026330985877366","3.5208378558580264","4.30944630277121","3.9899674861619285","3.276844368841895","3.9706353805876793","3.584069217925356","3.448438829606422","4.881666326856838","2.9041852517367444","2.48772154998886","3.5866577280712058","4.229571560541283"
,"3.280409663571943","3.0846258180831723","2.7827377599986427","3.446653325103255","4.340847945355625","3.56534070736759","4.4949122224666445","3.4129174175329946","3.5921345106321327","3.028653725785902","3.6328786316076975","4.130388982475238","3.0819408565652124","3.826707505990974","4.130100782329875","3.710177777397501","2.9708632982283127","2.8887846241026356","3.3279779297746286","4.189438405974257","3.7737713923683014","3.1998315009758826","3.6090431160276704","3.887052164894482","3.1702397047655424","4.872854492423431","3.061092807174589","3.2782256025425514","3.5568551870262146","3.8160355269565085"
